id,A,B,ref_A,ref_B
305,00010_ESRGAN_mi.png,00010_ArNet_mi.png,00010,00010
306,00010_HiFiC_hi.png,00010_ESRGAN_mi.png,00010,00010
307,00010_ESRGAN_hi.png,00010_ESRGAN_mi.png,00010,00010
308,00010_ESRGAN_mi.png,00010_ArNet_hi.png,00010,00010
309,00010_ArNet_mi.png,00010_HiFiC_hi.png,00010,00010
310,00010_ArNet_mi.png,00010_ESRGAN_hi.png,00010,00010
311,00010_ArNet_hi.png,00010_ArNet_mi.png,00010,00010
312,00010_HiFiC_hi.png,00010_ESRGAN_hi.png,00010,00010
313,00010_HiFiC_hi.png,00010_ArNet_hi.png,00010,00010
314,00010_ESRGAN_hi.png,00010_ArNet_hi.png,00010,00010
315,00012_original.png,00012_HiFiC_lo.png,00012,00012
316,00012_ESRGAN_lo.png,00012_original.png,00012,00012
317,00012_ArNet_lo.png,00012_original.png,00012,00012
318,00012_original.png,00012_HiFiC_mi.png,00012,00012
319,00012_ESRGAN_mi.png,00012_original.png,00012,00012
320,00012_ArNet_mi.png,00012_original.png,00012,00012
321,00012_HiFiC_hi.png,00012_original.png,00012,00012
322,00012_original.png,00012_ESRGAN_hi.png,00012,00012
323,00012_original.png,00012_ArNet_hi.png,00012,00012
324,00012_ESRGAN_lo.png,00012_HiFiC_lo.png,00012,00012
325,00012_ArNet_lo.png,00012_HiFiC_lo.png,00012,00012
326,00012_HiFiC_mi.png,00012_HiFiC_lo.png,00012,00012
327,00012_ESRGAN_mi.png,00012_HiFiC_lo.png,00012,00012
328,00012_HiFiC_lo.png,00012_ArNet_mi.png,00012,00012
329,00012_HiFiC_lo.png,00012_HiFiC_hi.png,00012,00012
330,00012_ESRGAN_hi.png,00012_HiFiC_lo.png,00012,00012
331,00012_HiFiC_lo.png,00012_ArNet_hi.png,00012,00012
332,00012_ESRGAN_lo.png,00012_ArNet_lo.png,00012,00012
333,00012_ESRGAN_lo.png,00012_HiFiC_mi.png,00012,00012
334,00012_ESRGAN_mi.png,00012_ESRGAN_lo.png,00012,00012
335,00012_ArNet_mi.png,00012_ESRGAN_lo.png,00012,00012
336,00012_HiFiC_hi.png,00012_ESRGAN_lo.png,00012,00012
337,00012_ESRGAN_lo.png,00012_ESRGAN_hi.png,00012,00012
338,00012_ESRGAN_lo.png,00012_ArNet_hi.png,00012,00012
339,00012_HiFiC_mi.png,00012_ArNet_lo.png,00012,00012
340,00012_ESRGAN_mi.png,00012_ArNet_lo.png,00012,00012
341,00012_ArNet_lo.png,00012_ArNet_mi.png,00012,00012
342,00012_ArNet_lo.png,00012_HiFiC_hi.png,00012,00012
343,00012_ArNet_lo.png,00012_ESRGAN_hi.png,00012,00012
344,00012_ArNet_lo.png,00012_ArNet_hi.png,00012,00012
345,00012_ESRGAN_mi.png,00012_HiFiC_mi.png,00012,00012
346,00012_ArNet_mi.png,00012_HiFiC_mi.png,00012,00012
347,00012_HiFiC_mi.png,00012_HiFiC_hi.png,00012,00012
348,00012_ESRGAN_hi.png,00012_HiFiC_mi.png,00012,00012
349,00012_HiFiC_mi.png,00012_ArNet_hi.png,00012,00012
